,DATASET,SERIES_CODE,OBS_MEASURE,COUNTRY,SECTOR,GFS_GRP,INDICATOR,TYPE_OF_TRANSFORMATION,FREQUENCY,SCALE,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
28,IMF.STA:GFS_SOO(12.0.0),USA.S1311B.G1.G1411_NRES_T.POGDP_PT.A,OBS_VALUE,United States,Budgetary central government,Revenue,"Interest (before FISIM allocation), receivable, Nonresidents, Transact",Percent of GDP,Annual,Units,0.0080689880872285,0.0105431345744876,0.0090716410472531,0.0074072867346832,0.0061335321052071,0.0059480732440557,0.0047014342006604,0.0065072072852983,0.0077617120982353,0.0082637050414403,0.0045991114129003,0.0074350195883439,0.0116115338621673,0.0296345063125152,
29,IMF.STA:GFS_SOO(12.0.0),USA.S1311B.G1.G13KFG_T.POGDP_PT.A,OBS_VALUE,United States,Budgetary central government,Revenue,"Grants receivable from foreign governments: capital grants, Transactio",Percent of GDP,Annual,Units,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
30,IMF.STA:GFS_SOO(12.0.0),USA.S1311B.G1.G1112_T.POGDP_PT.A,OBS_VALUE,United States,Budgetary central government,Revenue,"Taxes on income, profits, and capital gains, payable by corporations a",Percent of GDP,Annual,Units,1.457818223500272,1.435618256091053,1.690052571836384,1.76788665145203,1.928935647605864,1.798786553703198,1.658413498609405,1.174502985401869,1.089028769359803,0.9770257393520652,1.054754526350295,1.410688025404145,1.543642648681696,1.605670486612453,
31,IMF.STA:GFS_SOO(12.0.0),USA.S1311B.G1.G13_S13U_T.POGDP_PT.A,OBS_VALUE,United States,Budgetary central government,Revenue,"Grants receivable, Other general government, Transactions",Percent of GDP,Annual,Units,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
32,IMF.STA:GFS_SOO(12.0.0),USA.S1311B.G1.G1411_T.POGDP_PT.A,OBS_VALUE,United States,Budgetary central government,Revenue,"Interest (before FISIM allocation), receivable, Transactions",Percent of GDP,Annual,Units,0.1929380572431013,0.1661798525294516,0.1296392569190874,0.1335082868427951,0.1329477158982004,0.141654550423613,0.1380650787826577,0.136215397637173,0.1476439042869021,0.1538330476242428,0.0652084784555677,0.0576816817577675,0.0535554026046933,0.0849451087588798,
33,IMF.STA:GFS_SOO(12.0.0),USA.S1311B.G1.G113IM_T.POGDP_PT.A,OBS_VALUE,United States,Budgetary central government,Revenue,"Taxes on immovable property, Transactions",Percent of GDP,Annual,Units,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
34,IMF.STA:GFS_SOO(12.0.0),RUS.S1311B.G1.G1113_T.POGDP_PT.A,OBS_VALUE,Russian Federation,Budgetary central government,Revenue,"Other taxes on income, profits, and capital gains, Transactions",Percent of GDP,Annual,Units,-0.0298281074690588,-0.0151379043960158,-0.027164556274315,-0.0128792350709901,-0.0087855616619958,-0.0157179091246009,-0.0281979727080252,-0.0406453811462093,-0.0466071928704464,-0.0435003529750747,-0.0201313173456448,-0.1058356124738645,-0.0558461401625803,0.360142944648798,
35,IMF.STA:GFS_SOO(12.0.0),USA.S1311B.G1.G113_T.POGDP_PT.A,OBS_VALUE,United States,Budgetary central government,Revenue,"Taxes on property, Transactions",Percent of GDP,Annual,Units,0.1001995152493774,0.0618216026244052,0.0865881831800885,0.1236443447907148,0.1067291378269975,0.1103634872916097,0.1066264643789651,1.307101738212634,0.1096893112466884,0.0752600687790956,0.0893644670526186,0.1154587979692731,0.1262357297486436,0.1259057979183445,
36,IMF.STA:GFS_SOO(12.0.0),USA.S1311B.G1.G26FGR_T.POGDP_PT.A,OBS_VALUE,United States,Budgetary central government,Revenue,"Grants receivable from foreign governments, Transactions",Percent of GDP,Annual,Units,0.0054322636591528,0.0059981826602712,0.0054860510829675,0.0057343678496268,0.0063589962020374,0.0037354468433998,0.0043733282282809,0.0040740155312281,0.0034880019751628,0.0059521888952981,0.0034752067808912,0.0046657313245647,0.0031403204534181,0.0027221510259922,
37,IMF.STA:GFS_SOO(12.0.0),USA.S1311B.G1.G1113_T.POGDP_PT.A,OBS_VALUE,United States,Budgetary central government,Revenue,"Other taxes on income, profits, and capital gains, Transactions",Percent of GDP,Annual,Units,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
