COUNTRY,INDICATOR,UNIT,FREQUENCY,SCALE,2024,year,value
South Africa,Total reserves (gold at market value),US dollar,Annual,Millions,65434.95715922648,2017,50722.89136323611
"China, People's Republic of",Total reserves (gold at market value),US dollar,Annual,Millions,3456024.808739121,2017,3235681.60721304
"Türkiye, Republic of",Total reserves (gold at market value),US dollar,Annual,Millions,154773.7801781688,2017,107657.0253845156
United States,Total reserves (gold at market value),US dollar,Annual,Millions,910036.5466514998,2017,451285.2634062397
Russian Federation,Total reserves (gold at market value),US dollar,Annual,Millions,,2017,432730.5079641104
France,Total reserves (gold at market value),US dollar,Annual,Millions,282857.0028138249,2018,166483.4001967897
United Kingdom,Total reserves (gold at market value),US dollar,Annual,Millions,174597.8433251816,2018,172657.7495363148
Italy,Total reserves (gold at market value),US dollar,Annual,Millions,290547.2467263591,2018,152361.9364215528
Germany,Total reserves (gold at market value),US dollar,Annual,Millions,377935.5743562425,2018,198027.0616754032
Japan,Total reserves (gold at market value),US dollar,Annual,Millions,1230666.979042453,2018,1270467.038786778
Brazil,Total reserves (gold at market value),US dollar,Annual,Millions,329732.4438133777,2018,374709.6734478277
Sri Lanka,Total reserves (gold at market value),US dollar,Annual,Millions,6093.946546374369,2018,6920.82556609992
Bangladesh,Total reserves (gold at market value),US dollar,Annual,Millions,21394.79573304053,2018,32028.38371659495
India,Total reserves (gold at market value),US dollar,Annual,Millions,643042.5606255407,2018,399167.1592266815
South Africa,Total reserves (gold at market value),US dollar,Annual,Millions,65434.95715922648,2018,51642.04196667351
"China, People's Republic of",Total reserves (gold at market value),US dollar,Annual,Millions,3456024.808739121,2018,3168216.331199085
"Türkiye, Republic of",Total reserves (gold at market value),US dollar,Annual,Millions,154773.7801781688,2018,92997.23004056056
United States,Total reserves (gold at market value),US dollar,Annual,Millions,910036.5466514998,2018,449907.0888285463
Russian Federation,Total reserves (gold at market value),US dollar,Annual,Millions,,2018,468645.2160827187
France,Total reserves (gold at market value),US dollar,Annual,Millions,282857.0028138249,2019,189006.4352954885
United Kingdom,Total reserves (gold at market value),US dollar,Annual,Millions,174597.8433251816,2019,173569.1992627668
Italy,Total reserves (gold at market value),US dollar,Annual,Millions,290547.2467263591,2019,175397.9541311084
Germany,Total reserves (gold at market value),US dollar,Annual,Millions,377935.5743562425,2019,224027.9610164154
Japan,Total reserves (gold at market value),US dollar,Annual,Millions,1230666.979042453,2019,1322443.255598643
Brazil,Total reserves (gold at market value),US dollar,Annual,Millions,329732.4438133777,2019,356886.3869119788
Sri Lanka,Total reserves (gold at market value),US dollar,Annual,Millions,6093.946546374369,2019,7648.305273424422
Bangladesh,Total reserves (gold at market value),US dollar,Annual,Millions,21394.79573304053,2019,32696.93614029252
India,Total reserves (gold at market value),US dollar,Annual,Millions,643042.5606255407,2019,463469.902152507
South Africa,Total reserves (gold at market value),US dollar,Annual,Millions,65434.95715922648,2019,55055.89365686704
"China, People's Republic of",Total reserves (gold at market value),US dollar,Annual,Millions,3456024.808739121,2019,3222894.57803636
"Türkiye, Republic of",Total reserves (gold at market value),US dollar,Annual,Millions,154773.7801781688,2019,105619.6724479342
United States,Total reserves (gold at market value),US dollar,Annual,Millions,910036.5466514998,2019,516700.5833712466
Russian Federation,Total reserves (gold at market value),US dollar,Annual,Millions,,2019,555179.4616389249
France,Total reserves (gold at market value),US dollar,Annual,Millions,282857.0028138249,2020,224236.4178677114
United Kingdom,Total reserves (gold at market value),US dollar,Annual,Millions,174597.8433251816,2020,180054.1013895532
Italy,Total reserves (gold at market value),US dollar,Annual,Millions,290547.2467263591,2020,210687.3305531704
Germany,Total reserves (gold at market value),US dollar,Annual,Millions,377935.5743562425,2020,268408.6033486789
Japan,Total reserves (gold at market value),US dollar,Annual,Millions,1230666.979042453,2020,1390808.939303365
Brazil,Total reserves (gold at market value),US dollar,Annual,Millions,329732.4438133777,2020,355614.2514561398
Sri Lanka,Total reserves (gold at market value),US dollar,Annual,Millions,6093.946546374369,2020,5663.994385327835
Bangladesh,Total reserves (gold at market value),US dollar,Annual,Millions,21394.79573304053,2020,43171.73533580008
India,Total reserves (gold at market value),US dollar,Annual,Millions,643042.5606255407,2020,590227.3599288962
South Africa,Total reserves (gold at market value),US dollar,Annual,Millions,65434.95715922648,2020,55008.49199555677
"China, People's Republic of",Total reserves (gold at market value),US dollar,Annual,Millions,3456024.808739121,2020,3357240.875433715
"Türkiye, Republic of",Total reserves (gold at market value),US dollar,Annual,Millions,154773.7801781688,2020,93584.5779170715
United States,Total reserves (gold at market value),US dollar,Annual,Millions,910036.5466514998,2020,628369.7153383222
Russian Federation,Total reserves (gold at market value),US dollar,Annual,Millions,,2020,596769.8627695641
France,Total reserves (gold at market value),US dollar,Annual,Millions,282857.0028138249,2021,244280.3333978951
United Kingdom,Total reserves (gold at market value),US dollar,Annual,Millions,174597.8433251816,2021,194181.3973150295
Italy,Total reserves (gold at market value),US dollar,Annual,Millions,290547.2467263591,2021,227478.3271592574
Germany,Total reserves (gold at market value),US dollar,Annual,Millions,377935.5743562425,2021,295736.2194135975
Japan,Total reserves (gold at market value),US dollar,Annual,Millions,1230666.979042453,2021,1405748.991418918
Brazil,Total reserves (gold at market value),US dollar,Annual,Millions,329732.4438133777,2021,362210.0791813173
Sri Lanka,Total reserves (gold at market value),US dollar,Annual,Millions,6093.946546374369,2021,3136.991506347874
Bangladesh,Total reserves (gold at market value),US dollar,Annual,Millions,21394.79573304053,2021,46165.53245715551
India,Total reserves (gold at market value),US dollar,Annual,Millions,643042.5606255407,2021,638484.7799308357
South Africa,Total reserves (gold at market value),US dollar,Annual,Millions,65434.95715922648,2021,57597.14961725167
"China, People's Republic of",Total reserves (gold at market value),US dollar,Annual,Millions,3456024.808739121,2021,3427931.394628851
"Türkiye, Republic of",Total reserves (gold at market value),US dollar,Annual,Millions,154773.7801781688,2021,111184.8823821336
United States,Total reserves (gold at market value),US dollar,Annual,Millions,910036.5466514998,2021,716152.260973711
Russian Federation,Total reserves (gold at market value),US dollar,Annual,Millions,,2021,632241.824796464
France,Total reserves (gold at market value),US dollar,Annual,Millions,282857.0028138249,2022,242415.6188420221
United Kingdom,Total reserves (gold at market value),US dollar,Annual,Millions,174597.8433251816,2022,176409.9666466078
Italy,Total reserves (gold at market value),US dollar,Annual,Millions,290547.2467263591,2022,224580.5776121386
Germany,Total reserves (gold at market value),US dollar,Annual,Millions,377935.5743562425,2022,293913.6901867965
Japan,Total reserves (gold at market value),US dollar,Annual,Millions,1230666.979042453,2022,1227573.263129264
Brazil,Total reserves (gold at market value),US dollar,Annual,Millions,329732.4438133777,2022,324673.4497814004
Sri Lanka,Total reserves (gold at market value),US dollar,Annual,Millions,6093.946546374369,2022,1896.231717158465
Bangladesh,Total reserves (gold at market value),US dollar,Annual,Millions,21394.79573304053,2022,33747.20227170213
India,Total reserves (gold at market value),US dollar,Annual,Millions,643042.5606255407,2022,567298.1539171399
South Africa,Total reserves (gold at market value),US dollar,Annual,Millions,65434.95715922648,2022,60553.11300625435
"China, People's Republic of",Total reserves (gold at market value),US dollar,Annual,Millions,3456024.808739121,2022,3306839.412813779
"Türkiye, Republic of",Total reserves (gold at market value),US dollar,Annual,Millions,154773.7801781688,2022,128735.0033958925
United States,Total reserves (gold at market value),US dollar,Annual,Millions,910036.5466514998,2022,706644.2159988935
Russian Federation,Total reserves (gold at market value),US dollar,Annual,Millions,,2022,581709.9569462059
France,Total reserves (gold at market value),US dollar,Annual,Millions,282857.0028138249,2023,240792.0077842541
United Kingdom,Total reserves (gold at market value),US dollar,Annual,Millions,174597.8433251816,2023,177915.3562422344
Italy,Total reserves (gold at market value),US dollar,Annual,Millions,290547.2467263591,2023,247396.3842539834
Germany,Total reserves (gold at market value),US dollar,Annual,Millions,377935.5743562425,2023,322700.0662745271
Japan,Total reserves (gold at market value),US dollar,Annual,Millions,1230666.979042453,2023,1294636.035263817
Brazil,Total reserves (gold at market value),US dollar,Annual,Millions,329732.4438133777,2023,355021.395541562
Sri Lanka,Total reserves (gold at market value),US dollar,Annual,Millions,6093.946546374369,2023,4405.117005006622
Bangladesh,Total reserves (gold at market value),US dollar,Annual,Millions,21394.79573304053,2023,21859.70919088923
India,Total reserves (gold at market value),US dollar,Annual,Millions,643042.5606255407,2023,627792.750126715
South Africa,Total reserves (gold at market value),US dollar,Annual,Millions,65434.95715922648,2023,62491.67582031288
"China, People's Republic of",Total reserves (gold at market value),US dollar,Annual,Millions,3456024.808739121,2023,3449544.415518985
"Türkiye, Republic of",Total reserves (gold at market value),US dollar,Annual,Millions,154773.7801781688,2023,140868.4800016959
United States,Total reserves (gold at market value),US dollar,Annual,Millions,910036.5466514998,2023,773426.1872891277
Russian Federation,Total reserves (gold at market value),US dollar,Annual,Millions,,2023,597217.0638191967
